long,lat,T_Summer,PPT_Summer,VWC_Summer_whole,ExtremeShortTermDryStress_Summer_whole,T_Summer_t,PPT_Summer_t,VWC_Summer_whole_t,ExtremeShortTermDryStress_Summer_whole_t
-110.0472,37.60413,24.55,4.48,0.04,35.25,1.0,0.05,0.15,1.0
-110.0461,37.60334,24.55,4.48,0.05,35.25,1.0,0.05,0.22,1.0
-110.0458,37.60308,24.55,4.48,0.05,35.19,1.0,0.05,0.22,0.97
-110.0393,37.60519,24.55,4.48,0.05,35.25,1.0,0.05,0.28,1.0
-110.0389,37.60545,24.55,4.48,0.05,35.25,1.0,0.05,0.31,1.0
-110.0386,37.59621,24.55,4.48,0.05,35.19,1.0,0.05,0.29,0.97
-110.0376,37.60202,24.55,4.48,0.05,35.25,1.0,0.05,0.23,1.0
-110.0376,37.6044,24.55,4.48,0.04,35.19,1.0,0.05,0.14,0.97
-110.0365,37.60096,24.31,4.36,0.04,34.75,0.87,0.0,0.18,0.77
-110.0365,37.60334,24.31,4.36,0.04,34.82,0.87,0.0,0.15,0.8
-110.0355,37.59489,24.31,4.36,0.04,34.75,0.87,0.0,0.08,0.77
-110.0348,37.59067,24.31,4.36,0.05,34.75,0.87,0.0,0.22,0.77
-110.0345,37.60123,24.31,4.36,0.05,34.82,0.87,0.0,0.27,0.8
-110.0341,37.6044,24.31,4.36,0.05,34.75,0.87,0.0,0.25,0.77
-110.0338,37.58882,24.31,4.36,0.05,34.75,0.87,0.0,0.3,0.77
-110.0338,37.59991,24.31,4.36,0.04,34.82,0.87,0.0,0.11,0.8
-110.0334,37.60492,24.31,4.36,0.05,34.82,0.87,0.0,0.25,0.8
-110.0331,37.60915,24.31,4.36,0.05,34.82,0.87,0.0,0.32,0.8
-110.0328,37.60334,24.31,4.36,0.04,34.82,0.87,0.0,0.16,0.8
-110.0321,37.60862,24.31,4.36,0.05,34.82,0.87,0.0,0.27,0.8
-110.0314,37.58935,24.31,4.36,0.04,34.75,0.87,0.0,0.18,0.77
-110.03,37.59938,24.31,4.36,0.04,34.75,0.87,0.0,0.06,0.77
-110.029,37.60598,24.31,4.36,0.05,34.82,0.87,0.0,0.25,0.8
-110.029,37.61179,24.31,4.36,0.06,34.75,0.87,0.0,0.39,0.77
-110.0286,37.60202,24.31,4.36,0.04,34.75,0.87,0.0,0.07,0.77
-110.0283,37.58671,24.34,4.63,0.04,34.94,0.88,0.12,0.12,0.86
-110.028,37.58011,24.34,4.63,0.05,34.94,0.88,0.12,0.2,0.86
-110.028,37.59753,24.31,4.36,0.04,34.75,0.87,0.0,0.17,0.77
-110.0273,37.60704,24.31,4.36,0.04,34.82,0.87,0.0,0.18,0.8
-110.0262,37.60308,24.31,4.36,0.05,34.75,0.87,0.0,0.24,0.77
-110.0259,37.60809,24.31,4.36,0.04,34.82,0.87,0.0,0.15,0.8
-110.0245,37.57668,24.34,4.63,0.05,34.94,0.88,0.12,0.31,0.86
-110.0245,37.61496,24.31,4.36,0.06,34.75,0.87,0.0,0.35,0.77
-110.0242,37.61284,24.31,4.36,0.05,34.82,0.87,0.0,0.26,0.8
-110.0235,37.57377,24.34,4.63,0.06,34.94,0.88,0.12,0.34,0.86
-110.0218,37.59595,24.31,4.36,0.04,34.82,0.87,0.0,0.18,0.8
-110.0214,37.5846,24.34,4.63,0.03,34.94,0.88,0.12,0.0,0.86
-110.0208,37.57984,24.34,4.63,0.05,34.94,0.88,0.12,0.26,0.86
-110.0201,37.57192,24.34,4.63,0.06,34.94,0.88,0.12,0.34,0.86
-110.0177,37.61205,24.31,4.36,0.05,34.75,0.87,0.0,0.28,0.77
-110.0173,37.6007,24.31,4.36,0.06,34.75,0.87,0.0,0.35,0.77
-110.017,37.61416,24.31,4.36,0.05,34.75,0.87,0.0,0.25,0.77
-110.0153,37.61258,24.31,4.36,0.06,34.75,0.87,0.0,0.45,0.77
-110.0149,37.58143,24.34,4.63,0.04,34.94,0.88,0.12,0.16,0.86
-110.0146,37.61839,24.31,4.36,0.06,34.75,0.87,0.0,0.39,0.77
-110.0129,37.62472,24.31,4.36,0.07,34.82,0.87,0.0,0.56,0.8
-110.0129,37.62736,24.31,4.36,0.07,34.75,0.87,0.0,0.59,0.77
-110.0105,37.59252,24.31,4.36,0.05,34.82,0.87,0.0,0.3,0.8
-110.0105,37.6139,24.31,4.36,0.06,34.75,0.87,0.0,0.37,0.77
-110.0105,37.62208,24.31,4.36,0.07,34.75,0.87,0.0,0.47,0.77
-110.0101,37.62024,24.31,4.36,0.06,34.75,0.87,0.0,0.35,0.77
-110.0098,37.59964,24.31,4.36,0.07,34.75,0.87,0.0,0.52,0.77
-110.0094,37.61839,24.31,4.36,0.05,34.75,0.87,0.0,0.27,0.77
-110.0084,37.57324,24.34,4.63,0.05,34.94,0.88,0.12,0.28,0.86
-110.007,37.61733,24.31,4.36,0.06,34.75,0.87,0.0,0.35,0.77
-110.0057,37.59436,24.31,4.36,0.07,34.75,0.87,0.0,0.56,0.77
-110.0057,37.61284,24.31,4.36,0.07,34.75,0.87,0.0,0.57,0.77
-110.005,37.61892,24.31,4.36,0.06,34.75,0.87,0.0,0.35,0.77
-110.005,37.62657,24.31,4.36,0.08,34.75,0.87,0.0,0.69,0.77
-110.0046,37.57034,24.34,4.63,0.06,34.94,0.88,0.12,0.33,0.86
-110.0033,37.59806,24.31,4.36,0.08,34.75,0.87,0.0,0.66,0.77
-110.0033,37.61707,24.31,4.36,0.07,34.75,0.87,0.0,0.47,0.77
-110.0029,37.62156,24.31,4.36,0.07,34.75,0.87,0.0,0.47,0.77
-110.0022,37.57324,24.34,4.63,0.06,34.94,0.88,0.12,0.43,0.86
-110.0022,37.5846,24.34,4.63,0.05,34.94,0.88,0.12,0.31,0.86
-110.0022,37.60915,24.31,4.36,0.07,34.82,0.87,0.0,0.55,0.8
-110.0019,37.57879,24.34,4.63,0.05,34.94,0.88,0.12,0.3,0.86
-110.0016,37.59146,24.31,4.36,0.08,34.75,0.87,0.0,0.66,0.77
-110.0016,37.61654,24.31,4.36,0.07,34.75,0.87,0.0,0.56,0.77
-110.0012,37.61733,24.31,4.36,0.07,34.75,0.87,0.0,0.59,0.77
-110.0005,37.61892,24.31,4.36,0.08,34.75,0.87,0.0,0.69,0.77
-109.9998,37.58565,24.34,4.63,0.07,34.94,0.88,0.12,0.55,0.86
-109.9988,37.62393,24.31,4.36,0.07,34.82,0.87,0.0,0.54,0.8
-109.9978,37.58988,24.31,4.36,0.07,34.75,0.87,0.0,0.59,0.77
-109.9974,37.6044,24.31,4.36,0.08,34.75,0.87,0.0,0.65,0.77
-109.9971,37.61997,24.31,4.36,0.08,34.75,0.87,0.0,0.61,0.77
-109.995,37.59727,23.64,4.84,0.08,34.22,0.5,0.21,0.67,0.53
-109.994,37.62499,23.64,4.84,0.07,34.29,0.5,0.21,0.52,0.56
-109.9933,37.6102,23.64,4.84,0.08,34.22,0.5,0.21,0.64,0.53
-109.993,37.5941,23.64,4.84,0.07,34.22,0.5,0.21,0.58,0.53
-109.993,37.61865,23.64,4.84,0.08,34.22,0.5,0.21,0.6,0.53
-109.9926,37.62684,23.64,4.84,0.07,34.22,0.5,0.21,0.57,0.53
-109.9916,37.63212,22.73,6.62,0.08,33.08,0.0,1.0,0.71,0.0
-109.9913,37.62578,23.64,4.84,0.07,34.22,0.5,0.21,0.56,0.53
-109.9909,37.59278,23.64,4.84,0.08,34.22,0.5,0.21,0.63,0.53
-109.9882,37.62736,23.64,4.84,0.08,34.22,0.5,0.21,0.64,0.53
-109.9878,37.62235,23.64,4.84,0.08,34.22,0.5,0.21,0.65,0.53
-109.9858,37.62156,23.64,4.84,0.08,34.22,0.5,0.21,0.69,0.53
-109.9837,37.62763,23.64,4.84,0.09,34.22,0.5,0.21,0.79,0.53
-109.983,37.62974,22.73,6.62,0.08,33.08,0.0,1.0,0.61,0.0
-109.9823,37.62816,23.64,4.84,0.08,34.22,0.5,0.21,0.66,0.53
-109.9803,37.6139,23.64,4.84,0.08,34.22,0.5,0.21,0.71,0.53
-109.9799,37.62868,23.64,4.84,0.09,34.22,0.5,0.21,0.75,0.53
-109.9786,37.60308,23.64,4.84,0.09,34.22,0.5,0.21,0.78,0.53
-109.9786,37.63027,22.73,6.62,0.08,33.08,0.0,1.0,0.7,0.0
-109.9782,37.62921,22.73,6.62,0.09,33.08,0.0,1.0,0.74,0.0
-109.9775,37.63344,22.73,6.62,0.09,33.08,0.0,1.0,0.83,0.0
-109.9762,37.62789,23.64,4.84,0.09,34.22,0.5,0.21,0.74,0.53
-109.9758,37.59912,23.64,4.84,0.09,34.22,0.5,0.21,0.85,0.53
-109.9758,37.60862,23.64,4.84,0.09,34.22,0.5,0.21,0.81,0.53
-109.9758,37.62684,23.64,4.84,0.09,34.22,0.5,0.21,0.84,0.53
-109.9734,37.61522,23.64,4.84,0.1,34.22,0.5,0.21,0.88,0.53
-109.9731,37.6308,22.73,6.62,0.08,33.08,0.0,1.0,0.71,0.0
-109.9714,37.63476,22.73,6.62,0.1,33.08,0.0,1.0,0.9,0.0
-109.9693,37.62631,23.64,4.84,0.09,34.22,0.5,0.21,0.84,0.53
-109.969,37.61284,23.64,4.84,0.11,34.22,0.5,0.21,1.0,0.53
-109.9679,37.61654,23.64,4.84,0.1,34.22,0.5,0.21,0.9,0.53
-109.9679,37.62974,22.73,6.62,0.08,33.08,0.0,1.0,0.72,0.0
-109.9673,37.62868,23.64,4.84,0.09,34.22,0.5,0.21,0.8,0.53
-109.9669,37.62446,23.64,4.84,0.1,34.22,0.5,0.21,0.91,0.53
-109.9662,37.60783,23.64,4.84,0.08,34.22,0.5,0.21,0.63,0.53
-109.9662,37.63159,22.73,6.62,0.09,33.08,0.0,1.0,0.76,0.0
-109.9659,37.62525,23.64,4.84,0.08,34.22,0.5,0.21,0.73,0.53
